country,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124070003,1,1,1,1,7,5,8,A religious person,10,Female,1944,76,Separated,Retired/pensioned
CAN,124070004,1,1,2,1,5,8,2,A religious person,5,Male,1951,69,Married,Retired/pensioned
CAN,124070005,2,2,2,2,8,9,8,An atheist,2,Female,1984,35,Living together as married,Part time
CAN,124070006,1,2,2,2,4,7,8,A religious person,8,Male,1975,45,Married,Full time
CAN,124070008,1,2,2,2,7,1,9,Not a religious person,6,Male,1988,32,Divorced,Full time
CAN,124070009,1,2,2,1,6,7,8,An atheist,6,Male,1982,38,Married,Full time
CAN,124070010,1,1,1,1,9,9,9,An atheist,7,Male,1981,38,Married,Self employed
CAN,124070011,1,2,2,2,7,6,5,A religious person,5,Female,1985,34,Married,Unemployed
CAN,124070012,1,1,1,1,8,7,6,Not a religious person,6,Male,1955,65,Widowed,Self employed
CAN,124070013,1,3,2,2,6,6,9,A religious person,4,Male,1989,31,Single,Full time
CAN,124070014,1,1,1,1,8,7,5,Not a religious person,5,Female,1993,27,Single,Full time
CAN,124070015,1,2,1,2,10,10,7,Not a religious person,4,Male,1987,33,Married,Full time
CAN,124070016,1,1,2,4,8,8,9,An atheist,1,Male,1954,66,Widowed,Retired/pensioned
CAN,124070017,1,1,2,1,9,10,9,Not a religious person,7,Female,1970,50,Married,Homemaker not otherwise employed
CAN,124070018,1,1,1,3,7,6,7,Not a religious person,2,Female,1999,20,Single,Student
CAN,124070019,2,3,2,3,6,7,8,A religious person,8,Male,1986,34,Living together as married,Self employed
CAN,124070020,1,2,2,4,9,9,9,A religious person,6,Female,1946,74,Married,Retired/pensioned
CAN,124070021,2,1,1,2,5,7,6,An atheist,7,Female,1973,48,Married,Full time
CAN,124070022,1,3,1,4,7,3,8,An atheist,6,Female,1969,51,Living together as married,Full time
CAN,124070023,1,1,1,1,10,8,10,An atheist,1,Female,1984,36,Living together as married,Full time
CAN,124070024,1,1,1,2,7,7,6,A religious person,9,Male,1987,32,Married,Full time
CAN,124070025,1,1,1,4,8,8,8,Not a religious person,6,Male,1948,72,Widowed,Retired/pensioned
CAN,124070026,1,2,1,1,8,7,6,A religious person,6,Male,1995,25,Single,Part time
CAN,124070027,1,2,2,1,8,8,8,Not a religious person,5,Male,1978,42,Living together as married,Full time
CAN,124070028,1,1,1,1,7,8,7,Not a religious person,8,Female,1991,29,Single,Full time
CAN,124070029,1,1,2,1,10,8,9,A religious person,9,Male,1990,30,Married,Full time
CAN,124070030,1,3,1,3,10,9,9,Not a religious person,3,Male,1955,65,Married,Self employed
CAN,124070031,1,1,2,2,7,6,8,Not a religious person,5,Female,2001,19,Single,Part time
CAN,124070032,1,2,2,3,10,9,9,Not a religious person,6,Male,1953,66,Married,Unemployed
CAN,124070033,1,1,1,3,7,8,3,Not a religious person,9,Male,1982,38,Separated,Full time
CAN,124070034,1,2,1,2,8,6,4,A religious person,3,Male,1972,48,Married,Full time
CAN,124070035,1,1,1,1,1,1,1,A religious person,10,Male,1979,40,Single,Unemployed
CAN,124070036,1,2,1,1,7,7,6,Not a religious person,4,Female,1968,52,Divorced,Part time
CAN,124070037,2,2,2,3,5,4,4,A religious person,6,Female,1986,34,Single,Student
CAN,124070038,3,2,3,2,7,7,4,A religious person,7,Male,1977,43,Married,Full time
CAN,124070039,2,2,2,3,7,7,5,An atheist,8,Male,1990,30,Single,Self employed
CAN,124070040,1,2,3,4,4,4,3,Not a religious person,4,Female,1976,44,Separated,Other
CAN,124070041,1,1,1,3,7,6,5,A religious person,6,Female,1993,27,Living together as married,Student
CAN,124070042,1,2,2,2,8,7,6,Not a religious person,5,Female,1960,59,Married,Self employed
CAN,124070043,1,2,1,1,7,8,8,A religious person,4,Female,2001,19,Single,Student
CAN,124070045,2,2,2,2,6,6,6,Not a religious person,5,Male,1990,29,Single,Full time
CAN,124070046,1,1,1,2,8,8,8,Not a religious person,8,Male,1984,36,Married,Full time
CAN,124070047,1,2,2,2,7,5,3,An atheist,1,Female,1987,33,Married,Part time
CAN,124070048,1,2,2,1,8,7,5,Not a religious person,3,Female,1980,40,Separated,Full time
CAN,124070049,1,1,1,1,7,8,8,An atheist,3,Female,1993,27,Single,Part time
CAN,124070050,1,1,2,2,9,9,8,A religious person,5,Female,1969,51,Divorced,Full time
CAN,124070051,2,2,2,1,9,6,6,A religious person,5,Male,1996,24,Single,Full time
CAN,124070053,1,2,3,1,8,8,6,Not a religious person,9,Male,1970,49,Married,Self employed
CAN,124070054,1,1,1,1,8,9,9,A religious person,2,Female,1990,30,Living together as married,Full time
CAN,124070055,1,2,2,1,9,8,6,A religious person,7,Female,1981,39,Married,Self employed
CAN,124070056,1,2,1,2,8,8,8,Not a religious person,8,Male,1982,38,Married,Full time
CAN,124070057,2,2,2,3,9,9,9,A religious person,9,Male,1962,58,Single,Retired/pensioned
CAN,124070058,1,1,1,2,9,9,8,Not a religious person,7,Male,1987,33,Married,Full time
CAN,124070059,1,1,1,2,6,7,3,An atheist,10,Male,1977,43,Married,Self employed
CAN,124070060,1,2,1,2,9,7,6,Not a religious person,7,Male,1971,49,Single,Part time
CAN,124070061,1,1,2,3,6,3,5,An atheist,3,Male,1981,39,Living together as married,Unemployed
CAN,124070062,2,2,1,4,8,8,10,An atheist,5,Male,1948,71,Married,Retired/pensioned
CAN,124070063,1,3,1,2,10,10,10,A religious person,8,Male,1965,55,Married,Full time
CAN,124070064,1,1,2,2,8,6,9,A religious person,7,Male,1990,30,Married,Full time
CAN,124070066,1,1,1,1,8,8,8,An atheist,3,Female,1988,32,Living together as married,Full time
CAN,124070067,1,1,2,2,9,8,7,Not a religious person,4,Female,1998,22,Single,Student
CAN,124070068,2,2,2,2,8,7,6,An atheist,5,Male,1969,51,Living together as married,Full time
CAN,124070069,1,2,3,2,6,6,5,Not a religious person,5,Female,1977,42,Single,Full time
CAN,124070070,1,2,2,3,9,8,8,Not a religious person,8,Male,1998,22,Single,Student
CAN,124070071,1,1,2,1,8,8,2,A religious person,4,Male,1953,67,Married,Part time
CAN,124070072,1,2,1,1,7,6,7,Not a religious person,3,Male,1945,74,Married,Unemployed
CAN,124070073,1,2,1,2,10,10,10,An atheist,6,Female,1978,42,Living together as married,Full time
CAN,124070074,1,1,1,2,8,5,3,An atheist,3,Male,1989,31,Separated,Full time
CAN,124070100,1,2,3,2,7,8,8,A religious person,7,Male,1976,44,Living together as married,Full time
CAN,124070101,1,2,1,2,1,7,5,A religious person,8,Male,1964,55,Married,Full time
CAN,124070102,1,1,1,3,8,9,5,An atheist,5,Female,1952,68,Divorced,Retired/pensioned
CAN,124070104,1,2,2,2,8,7,7,Not a religious person,3,Male,1991,28,Married,Full time
CAN,124070106,1,1,2,1,8,8,7,Not a religious person,5,Female,1994,26,Living together as married,Full time
CAN,124070108,1,1,2,1,8,10,10,Not a religious person,4,Female,1991,29,Living together as married,Full time
CAN,124070109,1,1,1,1,8,5,8,Not a religious person,5,Female,1985,35,Single,Full time
CAN,124070111,2,1,1,1,10,10,10,An atheist,10,Male,1988,32,Single,Full time
CAN,124070112,1,1,2,1,8,7,6,A religious person,5,Male,1974,45,Living together as married,Full time
CAN,124070113,1,1,1,1,10,7,3,An atheist,5,Male,1988,32,Single,Unemployed
CAN,124070114,1,2,1,1,9,9,9,An atheist,8,Male,1980,39,Living together as married,Full time
CAN,124070115,4,4,1,1,2,1,3,Not a religious person,3,Male,1996,24,Living together as married,Part time
CAN,124070117,1,2,1,1,7,8,6,An atheist,7,Male,1982,38,Single,Full time
CAN,124070119,1,2,1,2,10,7,8,An atheist,2,Female,1991,29,Living together as married,Full time
CAN,124070120,1,1,1,1,7,7,7,Not a religious person,5,Female,1954,66,Widowed,Full time
CAN,124070121,1,2,2,2,7,7,7,An atheist,5,Female,1989,31,Single,Full time
CAN,124070122,1,1,2,1,7,8,6,A religious person,5,Female,1975,45,Single,Full time
CAN,124070123,1,1,2,2,8,8,6,A religious person,7,Female,1995,25,Married,Part time
CAN,124070125,1,2,1,3,6,5,3,Not a religious person,1,Male,1976,44,Married,Full time
CAN,124070126,2,3,2,2,8,8,8,A religious person,6,Male,1958,62,Married,Retired/pensioned
CAN,124070127,1,1,1,1,7,6,5,An atheist,3,Female,1974,45,Divorced,Full time
CAN,124070128,1,2,1,2,7,4,2,A religious person,5,Female,1969,51,Divorced,Full time
CAN,124070129,1,1,1,2,7,7,3,Not a religious person,5,Female,1987,33,Single,Student
CAN,124070130,1,2,1,1,9,6,4,An atheist,4,Male,1967,53,Married,Unemployed
CAN,124070131,1,1,1,2,7,7,7,Not a religious person,6,Male,1987,32,Living together as married,Full time
CAN,124070132,2,1,3,3,7,2,2,A religious person,4,Female,1991,28,Single,Student
CAN,124070133,1,1,1,1,9,9,8,Not a religious person,6,Female,1982,38,Living together as married,Full time
CAN,124070134,1,1,1,3,10,4,2,An atheist,1,Female,1987,32,Single,Full time
CAN,124070136,2,2,1,2,4,6,6,Not a religious person,5,Male,1992,27,Single,Full time
CAN,124070137,1,1,1,2,5,5,5,An atheist,2,Male,1973,47,Single,Part time
CAN,124070138,1,2,1,1,9,6,9,Not a religious person,5,Female,1997,23,Single,Full time
CAN,124070139,1,1,2,2,7,8,6,A religious person,4,Male,1980,40,Married,Full time
CAN,124070140,2,2,1,1,8,7,7,An atheist,2,Female,1987,33,Married,Full time
CAN,124070141,1,1,1,2,8,8,7,A religious person,6,Female,1952,68,Married,Retired/pensioned
CAN,124070142,2,2,1,1,4,8,8,A religious person,5,Female,1969,51,Divorced,Full time
CAN,124070143,2,1,2,2,6,6,5,A religious person,3,Female,1990,30,Married,Part time
CAN,124070144,3,2,2,2,6,6,5,An atheist,5,Male,1969,51,Single,Self employed
CAN,124070145,1,1,2,3,9,9,9,A religious person,10,Female,1940,80,Widowed,Retired/pensioned
CAN,124070146,2,2,1,3,8,7,9,An atheist,4,Male,1970,50,Single,Retired/pensioned
CAN,124070147,1,1,2,1,7,3,6,Not a religious person,7,Male,2001,19,Single,Part time
CAN,124070148,1,1,1,1,8,7,7,A religious person,3,Female,1994,26,Married,Full time
CAN,124070150,1,3,2,3,8,8,3,Not a religious person,5,Female,1966,53,Living together as married,Unemployed
CAN,124070151,1,1,1,1,10,10,10,An atheist,10,Male,1990,29,Living together as married,Part time
CAN,124070152,1,2,2,2,8,6,4,A religious person,5,Female,1982,37,Married,Part time
CAN,124070153,1,2,2,2,9,7,5,Not a religious person,4,Male,1987,33,Married,Full time
CAN,124070154,1,1,2,3,7,8,7,A religious person,1,Female,1933,86,Widowed,Self employed
CAN,124070155,1,1,2,2,5,5,4,Not a religious person,5,Female,1997,22,Living together as married,Student
CAN,124070156,1,3,2,2,8,6,7,Not a religious person,6,Female,1970,50,Single,Full time
CAN,124070158,1,1,1,2,8,8,7,An atheist,4,Male,1990,30,Single,Full time
CAN,124070159,1,1,2,1,9,5,4,Not a religious person,5,Female,1993,27,Separated,Part time
CAN,124070160,1,2,2,1,8,3,1,A religious person,5,Female,1975,45,Single,Unemployed
CAN,124070161,1,3,1,2,7,7,8,An atheist,4,Female,1999,20,Living together as married,Student
CAN,124070162,1,1,1,2,6,6,7,A religious person,8,Female,1997,23,Single,Part time
CAN,124070163,1,1,1,2,10,10,8,Not a religious person,5,Female,1993,27,Living together as married,Full time
CAN,124070164,1,1,1,1,7,7,7,Not a religious person,7,Female,1986,34,Married,Full time
CAN,124070166,1,2,1,1,7,8,7,Not a religious person,5,Male,1966,54,Married,Full time
CAN,124070169,2,1,1,1,8,8,5,An atheist,6,Female,1978,42,Single,Full time
CAN,124070171,1,2,1,2,5,5,6,A religious person,5,Male,2002,18,Single,Student
CAN,124070172,1,2,1,2,7,6,4,Not a religious person,3,Female,1994,26,Single,Full time
CAN,124070173,1,1,2,2,8,7,8,An atheist,3,Female,1955,65,Married,Retired/pensioned
CAN,124070174,1,2,1,1,9,7,6,An atheist,4,Female,1986,34,Married,Full time
CAN,124070175,1,1,1,2,8,8,7,Not a religious person,5,Male,1989,31,Living together as married,Full time
CAN,124070176,1,2,2,3,4,4,3,Not a religious person,7,Male,1971,49,Single,Retired/pensioned
CAN,124070177,2,1,3,3,8,7,7,An atheist,3,Female,1982,38,Married,Homemaker not otherwise employed
CAN,124070178,1,1,2,2,10,5,10,A religious person,5,Male,1998,21,Single,Student
CAN,124070179,1,2,3,4,8,8,9,A religious person,5,Female,1951,69,Divorced,Retired/pensioned
CAN,124070180,1,2,2,2,9,9,9,Not a religious person,7,Male,1964,56,Single,Retired/pensioned
CAN,124070181,1,2,2,2,7,7,7,Not a religious person,8,Female,1982,37,Married,Full time
CAN,124070182,2,2,2,2,9,7,8,Not a religious person,6,Female,1994,26,Living together as married,Student
CAN,124070183,1,1,2,2,8,8,8,A religious person,3,Female,1959,60,Divorced,Part time
CAN,124070184,2,2,1,1,9,8,8,Not a religious person,10,Female,1972,48,Married,Full time
CAN,124070185,1,2,4,4,3,2,1,Not a religious person,8,Male,1950,70,Married,Retired/pensioned
CAN,124070186,1,1,2,1,10,10,10,A religious person,7,Male,1946,74,Married,Retired/pensioned
CAN,124070187,1,2,1,2,5,7,7,An atheist,3,Male,1956,64,Married,Retired/pensioned
CAN,124070189,2,2,2,4,6,8,8,Not a religious person,3,Male,1954,66,Single,Retired/pensioned
CAN,124070190,1,1,1,1,10,10,7,Not a religious person,6,Female,1986,34,Married,Full time
CAN,124070191,1,1,2,4,9,8,7,An atheist,5,Female,1959,61,Single,Retired/pensioned
CAN,124070192,1,1,1,4,8,10,9,Not a religious person,5,Male,1962,58,Married,Retired/pensioned
CAN,124070193,1,1,2,4,7,6,5,A religious person,3,Male,1959,61,Divorced,Retired/pensioned
CAN,124070194,1,1,1,1,4,5,4,An atheist,5,Male,1986,34,Single,Unemployed
CAN,124070195,1,2,2,1,9,9,9,Not a religious person,4,Male,1943,77,Married,Retired/pensioned
CAN,124070196,1,3,1,2,10,6,6,A religious person,3,Female,1964,56,Divorced,Other
CAN,124070197,1,2,2,2,8,8,8,Not a religious person,5,Female,1977,43,Married,Full time
CAN,124070198,1,1,2,4,6,7,8,Not a religious person,7,Male,1954,65,Married,Retired/pensioned
CAN,124070199,2,3,3,4,6,8,3,Not a religious person,6,Male,1952,68,Single,Retired/pensioned
CAN,124070201,1,1,1,1,6,4,7,Not a religious person,7,Male,1976,44,Married,Full time
CAN,124070202,1,1,1,1,6,8,7,A religious person,7,Female,1975,45,Married,Part time
CAN,124070203,1,2,2,3,9,8,8,A religious person,7,Male,1956,64,Living together as married,Retired/pensioned
CAN,124070205,2,2,2,2,6,4,4,Not a religious person,6,Male,1988,32,Married,Part time
CAN,124070206,1,3,2,4,6,6,8,Not a religious person,3,Female,1953,67,Divorced,Retired/pensioned
CAN,124070207,2,2,2,4,8,8,9,A religious person,3,Female,1942,78,Married,Retired/pensioned
CAN,124070208,1,2,1,2,10,9,8,Not a religious person,5,Male,1987,32,Living together as married,Full time
CAN,124070209,1,1,1,2,8,8,8,A religious person,3,Male,1957,62,Married,Retired/pensioned
CAN,124070210,1,4,1,2,7,6,5,Not a religious person,7,Male,1971,49,Married,Full time
CAN,124070211,1,1,1,1,10,8,7,Not a religious person,7,Male,1983,37,Single,Full time
CAN,124070212,1,1,1,1,9,7,7,An atheist,7,Male,1996,24,Living together as married,Full time
CAN,124070213,1,1,2,2,9,8,9,A religious person,7,Female,1951,69,Married,Retired/pensioned
CAN,124070214,1,1,1,1,10,9,2,Not a religious person,9,Male,1954,66,Married,Self employed
CAN,124070215,1,1,2,4,8,7,3,A religious person,6,Female,1950,70,Separated,Retired/pensioned
CAN,124070216,1,2,2,2,8,6,2,An atheist,3,Female,1992,28,Single,Full time
CAN,124070217,3,2,2,4,4,7,3,Not a religious person,5,Female,1950,69,Divorced,Retired/pensioned
CAN,124070218,1,1,1,4,9,8,8,Not a religious person,7,Male,1951,68,Married,Retired/pensioned
CAN,124070219,1,1,1,1,9,8,9,Not a religious person,5,Male,1991,29,Living together as married,Self employed
CAN,124070223,1,2,2,3,9,7,5,A religious person,8,Female,1956,63,Separated,Retired/pensioned
CAN,124070224,2,1,1,2,10,7,5,An atheist,1,Male,1992,28,Married,Student
CAN,124070225,1,1,1,2,9,9,9,Not a religious person,9,Female,1975,45,Married,Full time
CAN,124070226,1,1,1,1,9,8,7,A religious person,5,Male,1953,67,Married,Retired/pensioned
CAN,124070227,1,2,2,2,8,8,6,Not a religious person,8,Male,1970,50,Married,Full time
CAN,124070228,1,1,1,3,5,7,8,Not a religious person,6,Female,1991,29,Married,Full time
CAN,124070230,1,3,1,4,9,6,4,A religious person,3,Female,1961,59,Married,Retired/pensioned
CAN,124070231,1,1,1,1,7,8,7,An atheist,3,Female,1991,29,Single,Student
CAN,124070232,1,1,1,4,8,7,7,An atheist,6,Male,1946,74,Married,Retired/pensioned
CAN,124070234,1,1,1,1,6,7,6,A religious person,9,Female,1982,38,Married,Full time
CAN,124070235,1,1,1,3,6,6,5,Not a religious person,2,Female,1983,37,Living together as married,Unemployed
CAN,124070236,1,2,2,2,4,7,3,Not a religious person,4,Female,1993,27,Married,Full time
CAN,124070237,1,1,1,2,8,8,7,Not a religious person,5,Male,1965,55,Married,Full time
CAN,124070238,1,1,2,1,7,7,5,Not a religious person,3,Male,1996,24,Single,Full time
CAN,124070239,2,2,2,2,7,8,7,Not a religious person,4,Male,1953,66,Married,Full time
CAN,124070240,1,2,2,3,7,8,8,A religious person,5,Female,1952,68,Married,Retired/pensioned
CAN,124070242,1,1,1,2,10,9,9,A religious person,7,Male,1984,35,Married,Full time
CAN,124070243,1,1,1,1,9,10,7,Not a religious person,3,Female,1997,23,Living together as married,Student
CAN,124070244,2,1,2,1,7,7,6,Not a religious person,3,Female,2002,18,Single,Student
CAN,124070245,1,1,2,1,9,8,8,Not a religious person,7,Female,1984,36,Living together as married,Full time
CAN,124070246,1,1,1,2,10,10,9,Not a religious person,7,Male,1969,51,Married,Self employed
CAN,124070247,1,2,1,1,5,6,4,Not a religious person,5,Female,1988,32,Single,Full time
CAN,124070250,1,1,1,3,7,7,7,An atheist,7,Male,1972,35,Single,Homemaker not otherwise employed
CAN,124070251,1,1,1,4,10,8,6,Not a religious person,5,Female,1954,65,Widowed,Retired/pensioned
CAN,124070252,1,1,1,1,8,8,8,A religious person,9,Female,1952,68,Married,Retired/pensioned
CAN,124070253,1,1,1,2,5,6,6,An atheist,1,Female,1994,26,Married,Homemaker not otherwise employed
CAN,124070254,3,2,1,2,7,7,7,Not a religious person,4,Male,1965,54,Separated,Full time
CAN,124070255,1,2,1,4,4,7,7,An atheist,1,Female,1964,56,Married,Retired/pensioned
CAN,124070256,1,1,2,1,8,9,6,A religious person,7,Female,1972,47,Married,Part time
CAN,124070257,1,2,2,4,6,5,5,Not a religious person,5,Female,1983,37,Married,Homemaker not otherwise employed
CAN,124070258,2,2,1,1,5,6,6,Not a religious person,3,Female,1990,29,Living together as married,Full time
CAN,124070259,1,1,1,1,8,6,7,Not a religious person,3,Female,1992,28,Living together as married,Full time
CAN,124070260,1,2,1,3,7,5,6,A religious person,6,Female,1981,39,Married,Full time
CAN,124070263,2,3,1,3,2,1,1,Not a religious person,4,Female,1986,34,Living together as married,Unemployed
CAN,124070264,1,1,1,1,8,7,7,A religious person,6,Female,1984,35,Married,Self employed
CAN,124070265,1,2,2,1,8,8,5,A religious person,7,Male,1983,37,Divorced,Full time
CAN,124070266,1,2,1,2,7,8,8,A religious person,4,Male,1982,37,Married,Full time
CAN,124070267,1,2,2,3,8,6,9,An atheist,7,Female,1984,36,Married,Full time
CAN,124070268,1,1,1,2,9,8,8,Not a religious person,9,Female,1943,76,Single,Retired/pensioned
CAN,124070269,1,1,1,2,9,9,9,Not a religious person,4,Female,1981,38,Married,Retired/pensioned
CAN,124070270,1,1,1,1,10,10,10,A religious person,1,Female,1958,62,Married,Part time
CAN,124070272,1,1,1,3,7,10,10,An atheist,6,Female,1993,27,Living together as married,Full time
CAN,124070273,1,1,1,3,9,8,10,Not a religious person,3,Female,1970,50,Living together as married,Full time
CAN,124070276,1,1,1,2,9,8,7,A religious person,7,Female,1998,22,Single,Part time
CAN,124070277,1,1,1,4,9,9,9,An atheist,3,Male,1948,72,Living together as married,Retired/pensioned
CAN,124070278,1,1,2,2,7,7,6,A religious person,1,Female,1953,67,Widowed,Retired/pensioned
CAN,124070279,1,2,3,1,8,7,6,Not a religious person,5,Male,1959,61,Married,Full time
CAN,124070280,1,2,2,2,9,9,8,Not a religious person,2,Male,1980,40,Married,Full time
CAN,124070281,2,1,2,2,7,7,6,An atheist,6,Male,1989,31,Living together as married,Full time
CAN,124070282,1,2,1,1,8,9,8,Not a religious person,5,Male,1963,57,Married,Full time
CAN,124070283,1,2,1,1,9,8,8,Not a religious person,10,Male,1957,63,Married,Full time
CAN,124070284,1,1,1,3,8,10,8,A religious person,7,Female,1968,52,Living together as married,Unemployed
CAN,124070285,1,2,2,4,9,8,7,Not a religious person,5,Male,1954,66,Divorced,Retired/pensioned
CAN,124070286,2,3,2,2,9,9,10,Not a religious person,9,Female,1972,48,Single,Full time
CAN,124070287,1,2,2,1,10,10,10,Not a religious person,8,Male,1963,57,Married,Full time
CAN,124070288,1,1,2,1,8,9,8,A religious person,2,Male,1941,79,Married,Retired/pensioned
CAN,124070289,2,2,1,2,7,6,5,An atheist,6,Male,1991,29,Divorced,Unemployed
CAN,124070290,1,2,1,1,5,5,5,An atheist,5,Male,1987,33,Married,Full time
CAN,124070291,1,1,2,3,8,8,6,An atheist,1,Female,1979,41,Divorced,Self employed
CAN,124070292,1,2,2,2,10,8,7,Not a religious person,3,Female,1985,35,Married,Full time
CAN,124070293,1,1,1,1,10,10,10,A religious person,10,Male,1970,48,Married,Full time
CAN,124070294,1,2,1,2,7,4,3,A religious person,5,Male,1962,59,Married,Unemployed
CAN,124070295,1,1,1,1,8,8,10,A religious person,10,Male,1932,88,Widowed,Retired/pensioned
CAN,124070296,1,2,1,2,3,4,3,A religious person,5,Female,1968,52,Single,Unemployed
CAN,124070297,1,1,1,3,9,10,9,A religious person,2,Female,1957,63,Married,Retired/pensioned
CAN,124070298,2,2,1,1,7,7,7,An atheist,6,Male,1964,56,Widowed,Self employed
CAN,124070299,1,1,1,2,8,8,5,Not a religious person,6,Male,1989,30,Living together as married,Full time
CAN,124070300,2,1,1,3,5,7,3,Not a religious person,3,Male,1980,40,Single,Unemployed
CAN,124070301,1,1,1,1,5,5,7,Not a religious person,5,Female,2000,20,Single,Student
CAN,124070302,2,3,2,2,9,9,9,A religious person,5,Male,1957,62,Living together as married,Full time
CAN,124070303,2,2,1,2,5,3,1,An atheist,5,Female,1966,54,Separated,Part time
CAN,124070304,2,2,1,1,5,4,4,An atheist,7,Female,2000,20,Single,Unemployed
CAN,124070305,1,2,2,2,8,9,6,Not a religious person,8,Male,1985,35,Separated,Full time
CAN,124070306,1,2,3,1,4,6,7,A religious person,5,Female,1980,39,Divorced,Full time
CAN,124070307,1,2,2,2,9,8,7,Not a religious person,9,Female,2002,18,Single,Student
CAN,124070309,2,2,3,3,5,1,4,A religious person,3,Male,1977,43,Married,Full time
CAN,124070310,1,1,1,2,7,6,7,Not a religious person,7,Male,1988,32,Single,Unemployed
CAN,124070311,2,2,2,4,8,8,8,A religious person,3,Female,1953,66,Married,Retired/pensioned
CAN,124070312,2,1,1,2,5,9,9,Not a religious person,4,Male,1936,84,Married,Retired/pensioned
CAN,124070313,1,2,1,1,6,8,6,A religious person,8,Male,1970,50,Married,Full time
CAN,124070314,1,1,1,2,8,9,7,Not a religious person,3,Female,1948,71,Divorced,Retired/pensioned
CAN,124070315,1,1,2,3,7,7,6,Not a religious person,4,Female,1938,81,Divorced,Retired/pensioned
CAN,124070316,1,1,1,3,10,10,10,A religious person,7,Male,1944,75,Married,Retired/pensioned
CAN,124070317,1,1,1,1,5,4,5,An atheist,8,Male,1966,54,Married,Self employed
CAN,124070318,1,3,2,3,5,7,6,Not a religious person,5,Male,1957,63,Married,Retired/pensioned
CAN,124070319,1,1,2,1,7,6,6,Not a religious person,4,Female,1982,38,Living together as married,Full time
CAN,124070320,1,1,2,2,10,8,9,An atheist,3,Male,1938,82,Married,Retired/pensioned
CAN,124070321,1,1,2,2,6,6,5,An atheist,5,Female,1994,26,Single,Full time
CAN,124070322,1,1,1,1,8,8,6,A religious person,3,Male,1962,58,Single,Full time
CAN,124070323,1,2,2,3,10,4,5,A religious person,8,Male,1946,73,Married,Retired/pensioned
CAN,124070325,2,1,1,1,6,5,7,Not a religious person,5,Male,1977,44,Living together as married,Self employed
CAN,124070326,1,1,1,1,8,9,9,A religious person,6,Male,1956,64,Married,Self employed
CAN,124070327,1,1,2,4,7,6,4,Not a religious person,8,Male,1934,86,Married,Retired/pensioned
CAN,124070328,1,1,2,3,9,9,7,An atheist,8,Female,1954,66,Married,Retired/pensioned
CAN,124070329,1,1,1,2,4,7,6,A religious person,7,Male,1969,51,Married,Self employed
CAN,124070330,1,1,1,2,8,8,8,A religious person,5,Male,1979,40,Married,Full time
CAN,124070331,1,1,1,1,7,8,8,A religious person,9,Male,1989,31,Separated,Full time
CAN,124070332,1,1,1,1,9,10,7,Not a religious person,9,Male,1979,41,Married,Full time
CAN,124070333,2,3,3,2,4,4,1,Not a religious person,4,Male,1978,42,Living together as married,Full time
CAN,124070334,1,1,1,1,6,7,5,An atheist,1,Male,1985,35,Married,Full time
CAN,124070335,1,2,2,2,7,7,7,Not a religious person,6,Female,1981,39,Living together as married,Full time
CAN,124070336,3,1,1,2,8,8,1,A religious person,5,Female,1950,69,Single,Self employed
CAN,124070337,1,3,3,4,10,6,1,An atheist,3,Male,1960,60,Single,Retired/pensioned
CAN,124070338,1,1,2,2,8,8,8,Not a religious person,3,Female,1946,74,Divorced,Retired/pensioned
CAN,124070339,2,2,2,1,6,7,5,An atheist,5,Male,1948,72,Divorced,Self employed
CAN,124070340,1,2,2,1,4,5,6,A religious person,10,Male,1976,43,Married,Full time
CAN,124070341,1,1,1,1,8,7,6,An atheist,3,Male,1982,38,Married,Full time
CAN,124070342,1,1,1,2,8,8,7,Not a religious person,4,Female,1964,56,Married,Unemployed
CAN,124070343,1,2,2,2,9,8,7,A religious person,9,Male,1986,34,Married,Full time
CAN,124070344,1,1,1,2,10,8,10,Not a religious person,3,Female,1987,32,Married,Full time
CAN,124070345,1,2,2,2,10,7,7,An atheist,5,Female,1991,28,Single,Full time
CAN,124070347,4,1,2,3,6,4,3,An atheist,2,Male,1971,49,Single,Self employed
CAN,124070348,1,1,2,2,8,8,7,An atheist,4,Male,1953,67,Single,Retired/pensioned
CAN,124070349,1,3,2,3,8,9,9,A religious person,6,Male,1956,63,Married,Retired/pensioned
CAN,124070350,1,2,1,1,9,6,9,A religious person,6,Male,1986,35,Married,Full time
CAN,124070351,1,1,1,1,10,8,7,A religious person,5,Female,1980,40,Living together as married,Full time
CAN,124070353,1,2,1,2,9,7,7,Not a religious person,3,Female,1988,32,Married,Homemaker not otherwise employed
CAN,124070354,1,1,1,2,6,6,4,Not a religious person,5,Male,1983,37,Living together as married,Full time
CAN,124070355,1,2,2,1,7,8,7,A religious person,5,Female,1986,33,Married,Homemaker not otherwise employed
CAN,124070356,1,1,1,4,8,7,8,Not a religious person,1,Female,1957,63,Married,Retired/pensioned
CAN,124070357,2,1,1,1,10,8,8,An atheist,1,Male,1962,58,Divorced,Self employed
CAN,124070358,1,2,2,2,6,7,6,An atheist,6,Male,1980,40,Married,Full time
CAN,124070359,1,2,2,2,8,8,8,An atheist,3,Male,1973,47,Married,Full time
CAN,124070360,2,3,1,4,8,8,8,Not a religious person,2,Male,1953,67,Divorced,Retired/pensioned
