country,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124071496,2,2,2,2,8,8,7,A religious person,4,Male,1955,65,Married,Retired/pensioned
CAN,124071497,2,3,2,4,6,6,6,A religious person,6,Female,1957,62,Married,Retired/pensioned
CAN,124071500,1,1,1,1,7,8,7,Not a religious person,4,Male,1992,28,Living together as married,Full time
CAN,124071501,1,2,1,1,8,7,2,A religious person,8,Female,1976,43,Married,Full time
CAN,124071502,1,1,1,1,7,7,6,A religious person,8,Male,1983,37,Married,Full time
CAN,124071504,1,2,2,1,9,6,3,Not a religious person,7,Male,1972,48,Living together as married,Full time
CAN,124071506,1,2,1,1,10,10,5,A religious person,5,Female,1995,25,Single,Full time
CAN,124071507,1,2,1,2,7,7,5,Not a religious person,5,Male,1984,36,Single,Full time
CAN,124071509,1,3,2,3,7,7,8,A religious person,3,Female,1954,66,Married,Retired/pensioned
CAN,124071510,1,2,1,1,9,8,8,Not a religious person,6,Male,1990,30,Married,Full time
CAN,124071511,4,2,1,2,6,8,9,A religious person,7,Male,1998,22,Single,Part time
CAN,124071513,2,2,1,1,8,8,8,Not a religious person,4,Female,1996,24,Single,Full time
CAN,124071514,2,2,2,3,8,7,7,Not a religious person,6,Male,1965,54,Single,Full time
CAN,124071515,1,1,1,2,7,8,9,A religious person,7,Male,1947,73,Married,Retired/pensioned
CAN,124071517,1,1,1,1,5,5,6,A religious person,5,Male,1996,24,Single,Student
CAN,124071518,1,1,2,2,8,7,7,Not a religious person,8,Male,1964,56,Married,Full time
CAN,124071519,1,1,1,1,7,8,5,A religious person,6,Female,1968,52,Married,Full time
CAN,124071520,1,1,2,2,7,7,7,A religious person,5,Female,1951,69,Married,Part time
CAN,124071521,1,1,1,4,10,10,10,A religious person,5,Female,1946,74,Married,Retired/pensioned
CAN,124071522,1,2,2,2,7,6,4,Not a religious person,5,Male,1971,49,Married,Full time
CAN,124071523,1,1,1,3,8,8,8,Not a religious person,7,Female,1969,51,Married,Self employed
CAN,124071524,2,2,2,3,4,4,4,Not a religious person,5,Female,1958,61,Married,Retired/pensioned
CAN,124071525,1,2,3,2,10,7,6,A religious person,8,Female,1962,58,Married,Other
CAN,124071526,3,3,2,2,7,7,7,Not a religious person,3,Female,1964,56,Separated,Full time
CAN,124071527,2,1,1,2,10,7,9,An atheist,3,Male,1980,40,Married,Full time
CAN,124071529,1,1,2,1,8,7,8,Not a religious person,7,Female,1959,61,Married,Retired/pensioned
CAN,124071530,1,2,1,4,6,5,8,An atheist,2,Male,1955,65,Married,Retired/pensioned
CAN,124071531,1,1,1,4,10,10,10,An atheist,5,Male,1946,74,Living together as married,Retired/pensioned
