ID,country,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,political_scale,birthyear,age,religiousity,sex,marital_status,employment
702070318,SGP,1,2,1,2,9,8,6,1,1974,45,Not a religious person,Female,Married,Part time
702070319,SGP,1,1,2,4,-2,7,8,7,1940,79,An atheist,Female,Widowed,Retired/pensioned
702070320,SGP,1,1,2,1,8,7,7,-1,1967,53,,Male,Married,Full time
702070321,SGP,1,1,2,3,5,7,6,7,1982,38,Not a religious person,Female,Married,Homemaker
702070322,SGP,1,1,2,2,8,8,7,5,1964,55,Not a religious person,Male,Married,Self employed
702070323,SGP,1,2,2,1,7,8,7,8,1969,51,,Male,Married,Self employed
702070324,SGP,1,1,2,2,6,7,7,5,1995,25,Not a religious person,Male,Single,Part time
702070325,SGP,1,3,1,-2,-2,7,10,6,1928,91,Not a religious person,Female,Widowed,Retired/pensioned
702070326,SGP,1,3,2,2,6,8,6,4,1972,47,An atheist,Male,Married,Full time
702070327,SGP,1,2,3,2,8,8,8,5,1954,65,An atheist,Male,Married,Retired/pensioned
702070328,SGP,2,2,2,-2,7,6,7,-1,1957,62,A religious person,Female,Living together as married,Retired/pensioned
702070329,SGP,1,2,3,2,7,7,7,7,1961,59,Not a religious person,Male,Married,Full time
702070330,SGP,1,2,2,2,7,7,6,8,1947,73,An atheist,Male,Married,Retired/pensioned
702070331,SGP,1,2,1,1,6,8,7,8,1946,74,,Female,Married,Retired/pensioned
702070332,SGP,1,3,1,1,10,10,10,5,1966,54,Not a religious person,Male,Married,Full time
702070333,SGP,1,1,1,2,9,9,10,-1,1960,60,Not a religious person,Female,Married,Retired/pensioned
702070334,SGP,1,1,2,2,6,7,7,7,1951,69,Not a religious person,Female,Widowed,Retired/pensioned
702070335,SGP,1,1,2,2,6,8,7,-2,1950,70,Not a religious person,Female,Married,Part time
702070336,SGP,1,3,2,2,4,4,5,6,1960,60,A religious person,Female,Divorced,Full time
702070337,SGP,2,2,2,3,5,5,6,5,1939,81,Not a religious person,Male,Married,Retired/pensioned
702070338,SGP,1,2,2,2,5,5,5,5,1970,50,,Female,Married,Self employed
702070339,SGP,1,2,2,3,7,7,7,7,1964,56,Not a religious person,Male,Married,Part time
702070340,SGP,1,2,2,2,8,7,5,9,1960,60,A religious person,Male,Married,Part time
702070341,SGP,2,2,3,1,10,9,8,7,1991,29,A religious person,Male,Single,Full time
702070342,SGP,1,1,2,1,7,7,7,5,1988,32,Not a religious person,Male,Single,Full time
702070343,SGP,1,1,1,1,10,10,10,3,1990,30,A religious person,Male,Single,Full time
702070344,SGP,1,2,2,2,7,7,7,4,1965,55,A religious person,Male,Married,Self employed
